ID,Slug,Name,Category,Brand,Original_Price,Discounted_Price,Stock_Status,Image_URL_1,Image_URL_2,Image_URL_3,Size,Rim,Ply,Pattern,Origin,Description
6a01084bef7be57bf6458e52,1000-20-flap,"10.00-20 (Flap)","Flaps","Zess",0,0,in_stock,,,,"10.00-20","","","Flap","",""
6a01084bef7be57bf6458e53,700-15-flap,"7.00-15 (Flap)","Flaps","Local",0,0,in_stock,,,,"7.00-15","","","Flap","",""
6a01084bef7be57bf6458e54,750-16-flap,"7.50-16 (Flap)","Flaps","Local",0,0,in_stock,,,,"7.50-16","","","Flap","",""
6a01084bef7be57bf6458e55,air-pressure-bucket,"Air Pressure Bucket","Gadgets","BTG",0,0,in_stock,https://i.ibb.co/JjJJYK0y/1.jpg,https://i.ibb.co/ZRH6k7ZW/2.jpg,https://i.ibb.co/kVKFXjtP/3.jpg,"","","","","",""
6a01084bef7be57bf6458e60,product,"#4","Patches","BTG",0,0,in_stock,https://i.ibb.co/4ZWYFDft/1.jpg,https://i.ibb.co/VG6W84s/2.jpg,https://i.ibb.co/3Ym1B2Jz/2.png,"#4","","","","",""
6a01084bef7be57bf6458e5a,dunlope-nozzlessmall,"Dunlope Nozzles(small)","Gadgets","BTG",0,0,in_stock,,,,"","","","","",""
6a01084bef7be57bf6458e5b,dunlope-nozzleswhite,"Dunlope Nozzles(White)","Gadgets","BTG",0,0,in_stock,https://i.ibb.co/GQ41R4vn/1.jpg,https://i.ibb.co/pjn1SJM7/2.jpg,https://i.ibb.co/v6VdmX1G/3.jpg,"","","","","",""
6a01084bef7be57bf6458e58,bend-nozzle,"Bend Nozzle","Gadgets","BTG",0,0,in_stock,,,,"","","","","",""
6a01084bef7be57bf6458e5f,vulp-pin,"Vulp pin","Gadgets","BTG",0,0,in_stock,https://i.ibb.co/jP2Yfpm4/1.jpg,https://i.ibb.co/wNZFnvt6/2.jpg,https://i.ibb.co/v6kN262d/3.jpg,"","","","","",""
6a01084bef7be57bf6458e5e,steel-nozzle-nutt-nozzle,"Steel Nozzle _ Nutt Nozzle","Gadgets","BTG",0,0,in_stock,,,,"","","","","",""
6a01084bef7be57bf6458e5d,repair-kit,"Repair Kit","Gadgets","BTG",0,0,in_stock,https://i.ibb.co/j9CsrWQZ/1.jpg,https://i.ibb.co/cKj29Psd/2.jpg,https://i.ibb.co/Q3XVzhDZ/3.jpg,"","","","","",""
6a01084bef7be57bf6458e56,air-pressure-meter,"Air Pressure Meter","Gadgets","BTG",0,0,in_stock,https://i.ibb.co/JR787JRT/1.jpg,https://i.ibb.co/yBytTfhD/2.jpg,https://i.ibb.co/7twCHZyF/3.jpg,"","","","","",""
6a01084bef7be57bf6458e59,dunlope-nozzlesblack,"Dunlope Nozzles(Black)","Gadgets","BTG",0,0,in_stock,https://i.ibb.co/DDqSj8WM/1.jpg,https://i.ibb.co/wNxjkvts/2.jpg,https://i.ibb.co/4R0pJbvN/3.jpg,"","","","","",""
6a01084bef7be57bf6458e5c,air-pressure-nozzle,"Air Pressure Nozzle","Gadgets","BTG",0,0,in_stock,https://i.ibb.co/ZRfk2WWs/1.jpg,https://i.ibb.co/RZRc3GD/2.jpg,https://i.ibb.co/60DTKhZw/3.jpg,"","","","Gadgets & Tools","",""
6a01084bef7be57bf6458e57,air-pressure-nozzle-1,"Air Pressure Nozzle","Gadgets","BTG",0,0,in_stock,https://i.ibb.co/ZRfk2WWs/1.jpg,https://i.ibb.co/RZRc3GD/2.jpg,https://i.ibb.co/60DTKhZw/3.jpg,"","","","","",""
6a01084bef7be57bf6458e61,product-1,"#5","Patches","BTG",0,0,in_stock,https://i.ibb.co/3Ym1B2Jz/2.png,,,"#5","","","","",""
6a01084bef7be57bf6458e62,product-2,"#6","Patches","BTG",0,0,in_stock,https://i.ibb.co/4Rqf4zM2/1.jpg,https://i.ibb.co/3Ym1B2Jz/2.png,,"#6","","","","",""
6a01084bef7be57bf6458e63,ct-10,"ct 10","Patches","BTG",0,0,in_stock,,,,"ct 10","","","","",""
6a01084bef7be57bf6458e64,ct-12,"ct 12","Patches","BTG",0,0,in_stock,,,,"ct 12","","","","",""
6a01084bef7be57bf6458e65,ct-14,"ct 14","Patches","BTG",0,0,in_stock,,,,"ct 14","","","","",""
6a01084bef7be57bf6458e66,elephent-patch-25-50,"Elephent Patch 25 & 50","Patches","BTG",0,0,in_stock,https://i.ibb.co/K1Cgkjk/1.jpg,https://i.ibb.co/DfSHDj5y/10.jpg,https://i.ibb.co/m5fT6KJ3/11.jpg,"Elephent Patch 25 & 50","","","","",""
6a01084bef7be57bf6458e67,gazi-solution,"Gazi Solution","Patches","BTG",0,0,in_stock,https://i.ibb.co/h1VVXTrD/1.jpg,https://i.ibb.co/DfpzC62c/2.jpg,https://i.ibb.co/dJLB8bJ1/3.jpg,"","","","","",""
6a01084bef7be57bf6458e68,m25,"M25","Patches","BTG",0,0,in_stock,https://i.ibb.co/x8qtWGNJ/1.jpg,https://i.ibb.co/LzrWQf7P/1.png,https://i.ibb.co/JwZ9GCMX/2.jpg,"M25","","","","",""
6a01084bef7be57bf6458e6a,mini-c50,"Mini C50","Patches","BTG",0,0,in_stock,https://i.ibb.co/whTphkV4/1.jpg,https://i.ibb.co/v2brGvs/2.jpg,https://i.ibb.co/60cVjhym/2.png,"Mini C50","","","","",""
6a01084bef7be57bf6458e69,m50,"M50","Patches","BTG",0,0,in_stock,https://i.ibb.co/rBpRFQm/1.jpg,https://i.ibb.co/5XXGqq1X/2.jpg,https://i.ibb.co/zHxc7HPz/3.jpg,"M50","","","","",""
6a01084bef7be57bf6458e6d,small-t30,"Small T30","Patches","BTG",0,0,in_stock,,,,"Small T30","","","","",""
